typing_speed,key_hold_time,mouse_velocity,click_interval,scroll_depth,network_latency,time_of_day,label
5.2,110,450,900,0.65,120,14,1
5.0,115,470,880,0.60,100,15,1
5.4,108,460,910,0.68,130,13,1
4.9,118,480,890,0.63,110,16,1
5.3,112,455,905,0.66,140,14,1
3.2,250,800,300,0.30,400,2,0
3.5,230,820,280,0.25,380,3,0
2.9,270,900,250,0.20,500,1,0
3.0,260,850,290,0.22,420,4,0
3.3,240,780,310,0.28,390,5,0
5.1,109,445,920,0.64,115,14,1
5.6,105,430,940,0.70,125,13,1
4.8,120,500,870,0.59,135,17,1
3.1,255,870,275,0.24,410,3,0
2.8,280,910,260,0.18,480,2,0
5.7,102,420,950,0.72,118,15,1
4.7,122,510,860,0.58,145,18,1
3.4,235,790,320,0.27,395,4,0
5.5,107,440,930,0.69,125,14,1
3.0,265,880,270,0.21,460,1,0
